method,gpu,concurrency,num_requests,ttft_mean_sec,ttft_p50_sec,ttft_p95_sec,tps_mean,tps_total,peak_gpu_memory_gb,model_memory_gb,kv_cache_memory_gb,quality_pass_rate,cost_per_1m_tokens_usd
awq_int4,L4,1,65,0.2229,0.1976,0.5702,50.12,50.34,20.29,19.71,0.58,0.5538,2.1518
awq_int4,L4,4,65,0.5476,0.3969,1.9043,40.44,156.35,20.87,19.71,1.16,0.5538,0.6929
awq_int4,L4,8,65,0.981,0.6739,2.3533,34.77,255.3,21.28,19.71,1.57,0.5538,0.4243
awq_int4,L4,16,65,1.6782,1.2094,4.0655,27.88,381.84,21.28,19.71,1.57,0.5231,0.2837
awq_int4_marlin,A100_SXM,1,65,0.0406,0.0297,0.1495,166.56,167.05,71.5,71.16,0.35,0.5231,2.4776
awq_int4_marlin,A100_SXM,4,65,0.1353,0.0904,0.5328,139.39,537.13,72.15,71.16,0.99,0.5385,0.7706
awq_int4_marlin,A100_SXM,8,65,0.2669,0.1747,0.6647,123.76,904.58,72.56,71.16,1.41,0.5538,0.4575
awq_int4_marlin,A100_SXM,16,65,0.4747,0.3407,1.1403,102.77,1390.63,72.56,71.16,1.41,0.5538,0.2976
awq_int4,A100_SXM,1,65,0.0706,0.0644,0.1552,108.92,109.22,72.01,71.43,0.58,0.5538,3.7894
awq_int4,A100_SXM,4,65,0.1466,0.1127,0.4415,92.01,355.8,72.58,71.43,1.16,0.5385,1.1633
awq_int4,A100_SXM,8,65,0.241,0.1717,0.5493,82.0,601.51,72.99,71.43,1.57,0.5231,0.6881
awq_int4,A100_SXM,16,65,0.4027,0.2956,0.9519,68.77,936.35,72.99,71.43,1.57,0.5231,0.442
baseline_fp16,L4,1,65,0.1406,0.1175,0.473,17.42,17.44,19.82,19.46,0.36,0.5385,6.2103
baseline_fp16,L4,4,65,0.4406,0.2923,1.7115,14.8,56.79,20.46,19.46,1.01,0.5538,1.9077
baseline_fp16,L4,8,65,0.8591,0.5484,2.1083,13.51,98.47,20.88,19.46,1.42,0.5692,1.1002
baseline_fp16,L4,16,65,1.498,1.0724,3.6563,12.44,164.43,20.88,19.46,1.42,0.5385,0.6588
baseline_fp16,A100_SXM,1,65,0.0362,0.0305,0.1224,87.24,87.37,71.51,71.15,0.36,0.5385,4.7374
baseline_fp16,A100_SXM,4,65,0.1084,0.0774,0.407,77.54,297.04,72.16,71.15,1.01,0.5538,1.3934
baseline_fp16,A100_SXM,8,65,0.208,0.1374,0.5174,70.16,509.96,72.57,71.15,1.42,0.5538,0.8116
baseline_fp16,A100_SXM,16,65,0.3657,0.2623,0.881,62.89,832.8,72.57,71.15,1.42,0.5538,0.497
bitsandbytes_nf4,A100_SXM,1,65,0.0806,0.0688,0.18,80.55,80.74,71.69,71.26,0.43,0.4923,5.1264
bitsandbytes_nf4,A100_SXM,4,65,0.1662,0.127,0.5153,20.8,79.36,72.71,71.26,1.46,0.4769,5.2152
bitsandbytes_nf4,A100_SXM,8,65,0.2812,0.2001,0.6495,18.81,140.8,73.54,71.26,2.28,0.4615,2.9396
bitsandbytes_nf4,A100_SXM,16,65,0.4912,0.3478,1.1144,17.49,252.44,73.54,71.26,2.28,0.4615,1.6396
bitsandbytes_nf4,L4,1,65,0.2296,0.196,0.6101,44.07,44.26,20.1,19.67,0.43,0.4308,2.4478
bitsandbytes_nf4,L4,4,65,0.5741,0.3963,2.0584,7.47,27.74,21.12,19.67,1.46,0.4154,3.9055
bitsandbytes_nf4,L4,8,65,1.0564,0.7022,2.55,6.86,49.92,21.95,19.67,2.28,0.4923,2.1702
bitsandbytes_nf4,L4,16,65,1.8991,1.3024,4.4088,6.19,87.48,21.95,19.67,2.28,0.4615,1.2384
fp8_w8a8,L4,1,65,0.1189,0.0823,0.4971,28.03,28.09,19.11,17.59,1.51,0.6154,3.8566
fp8_w8a8,L4,4,65,0.458,0.3008,1.8469,23.56,90.45,21.25,17.59,3.66,0.5538,1.1978
fp8_w8a8,L4,8,65,0.9103,0.5697,2.3413,21.32,155.5,21.17,17.59,3.58,0.5692,0.6967
fp8_w8a8,L4,16,65,1.5959,1.1447,3.9244,18.64,248.88,21.17,17.59,3.58,0.5692,0.4353
gptq_int4_marlin,L4,1,65,0.1145,0.0762,0.5059,56.53,56.68,19.81,19.46,0.35,0.5077,1.9114
gptq_int4_marlin,L4,4,65,0.4662,0.3229,1.8686,44.71,171.27,20.45,19.46,0.99,0.5231,0.6325
gptq_int4_marlin,L4,8,65,0.9286,0.6386,2.346,38.62,279.76,20.86,19.46,1.4,0.5231,0.3872
gptq_int4_marlin,L4,16,65,1.6639,1.202,4.0076,32.31,432.22,20.86,19.46,1.4,0.5385,0.2506
gptq_int4_marlin,A100_SXM,1,65,0.0393,0.0291,0.1427,176.66,177.04,71.52,71.17,0.35,0.5077,2.3379
gptq_int4_marlin,A100_SXM,4,65,0.1287,0.086,0.5075,142.69,546.61,72.16,71.17,0.99,0.5231,0.7572
gptq_int4_marlin,A100_SXM,8,65,0.2545,0.1667,0.6341,125.81,909.55,72.58,71.17,1.4,0.5385,0.455
gptq_int4_marlin,A100_SXM,16,65,0.4532,0.3241,1.0896,105.34,1416.1,72.58,71.17,1.4,0.5231,0.2923
gptq_int4,A100_SXM,1,65,0.0473,0.0411,0.1311,193.48,193.98,71.97,71.41,0.56,0.5385,2.1336
gptq_int4,A100_SXM,4,65,0.1167,0.0826,0.4063,125.92,487.02,72.54,71.41,1.14,0.5231,0.8498
gptq_int4,A100_SXM,8,65,0.2143,0.1495,0.5152,87.15,652.93,72.96,71.41,1.55,0.5077,0.6339
gptq_int4,A100_SXM,16,65,0.3684,0.2666,0.8818,54.44,786.46,72.96,71.41,1.55,0.4923,0.5263
